id,topic,question,A,B,C,D,answer,explanation
1,始计篇,「兵者，诡道也」出自哪一篇？,始计篇,作战篇,谋攻篇,军形篇,A,出自《孙子兵法·始计篇》。
2,始计篇,「能而示之不能」的下一句是？,用而示之不用,攻其无备,出其不意,亲而离之,A,原文为「能而示之不能，用而示之不用」。
3,始计篇,「兵者，国之大事，死生之地，存亡之道」的下一句是？,不可不察也,不可不备也,不可不战也,不可不谋也,A,出自《孙子兵法·始计篇》。
4,始计篇,孙子提出的「五事」不包括以下哪一项？,道,天,将,器,D,五事为道、天、地、将、法。
5,始计篇,「兵者，国之大事」体现了孙子的什么思想？,慎战,好战,速战,不战,A,强调战争关乎国家存亡，必须慎重。
6,始计篇,「故校之以计，而索其情」中的「计」指的是？,七计,五计,三计,九计,A,七计即「主孰有道」等七项比较。
7,始计篇,「主孰有道」是七计中的第几计？,第一,第二,第三,第四,A,七计以「主孰有道」为首。
8,始计篇,「势者，因利而制权也」出自哪一篇？,始计篇,作战篇,兵势篇,虚实篇,A,出自《孙子兵法·始计篇》。
9,始计篇,「攻其无备，出其不意」体现了什么原则？,突然性,持久性,防御性,均衡性,A,强调攻击敌人没有防备的地方。
10,始计篇,「多算胜，少算不胜」强调了什么？,谋划的重要性,兵力的重要性,地形的重要性,士气的重要性,A,强调战前谋划越充分胜算越大。
11,作战篇,「兵贵胜，不贵久」出自哪一篇？,作战篇,始计篇,谋攻篇,军争篇,A,出自《孙子兵法·作战篇》。
12,作战篇,「日费千金」形容什么？,战争耗费巨大,战争收获巨大,将士俸禄高,军械造价高,A,形容举兵作战耗费巨大。
13,作战篇,「因粮于敌」的意思是什么？,从敌国获取粮食,把粮食送给敌国,与敌国交换粮食,防止敌国抢粮,A,从敌方获取补给以减轻本国负担。
14,作战篇,「故智将务食于敌」中「食于敌」的意思是？,从敌方获取补给,在敌境种粮,与敌人共食,断敌粮道,A,指从敌国获取粮草补给。
15,作战篇,「国之贫于师者远输」说明了什么？,远途运输导致国家贫穷,军队越远越强,远征有利于经济,近战更耗国力,A,远距离运输会耗尽国力。
16,作战篇,「故兵闻拙速，未睹巧之久也」强调什么？,速战速决,持久作战,巧战取胜,避免作战,A,强调速战速决，反对久拖。
17,作战篇,「取用于国，因粮于敌」中「因粮于敌」的作用是？,减轻本国负担,削弱敌国粮草,讨好敌国,节约将士口粮,A,从敌方获取补给以减轻本国负担。
18,作战篇,「夫钝兵挫锐，屈力殚货」的后果是什么？,诸侯乘其弊,国家更富强,军队更精锐,民心更凝聚,A,长期作战会导致国力枯竭，诸侯趁机入侵。
19,作战篇,「故不尽知用兵之害者，则不能尽知用兵之利也」出自？,作战篇,始计篇,谋攻篇,九变篇,A,出自《孙子兵法·作战篇》。
20,作战篇,「善用兵者，役不再籍，粮不三载」体现什么？,速战速决、以战养战,长期屯兵、以逸待劳,就地屯田、自给自足,坚守不出、以守为攻,A,强调速战速决并就地取补给。
21,谋攻篇,「不战而屈人之兵」体现了什么思想？,以谋取胜,速战速决,火攻为上,用间为先,A,强调以谋略取胜。
22,谋攻篇,「上兵伐谋，其次伐交」的下一句是？,其次伐兵,其次攻城,其次伐国,其次用间,A,原文为「上兵伐谋，其次伐交，其次伐兵，其下攻城」。
23,谋攻篇,「故上兵伐谋」中「上兵」是什么意思？,最好的用兵策略,最高级的兵种,最上等的士兵,最先出兵,A,指最高明的用兵策略。
24,谋攻篇,「全国为上，破国次之」体现什么？,保全敌人实力为我所用,彻底摧毁敌人,围城不攻,分而治之,A,强调以最小代价使敌国完整降服。
25,谋攻篇,「十则围之，五则攻之」出自哪一篇？,谋攻篇,军形篇,兵势篇,虚实篇,A,出自《孙子兵法·谋攻篇》。
26,谋攻篇,「知彼知己，百战不殆」的完整意思是什么？,了解敌我才能常胜,只知己方可胜,只知彼方可胜,知己知彼者必胜,A,强调了解双方才能立于不败之地。
27,谋攻篇,「不知彼而知己，一胜一负」体现什么？,只知己不知彼的局限,只知彼不知己的局限,知己知彼的好处,不知敌我的后果,A,只知道己方而不知彼方，胜负各半。
28,谋攻篇,「故善用兵者，屈人之兵而非战也」出自？,谋攻篇,作战篇,虚实篇,军争篇,A,出自《孙子兵法·谋攻篇》。
29,谋攻篇,「三军既惑且疑，则诸侯之难至矣」说明了什么？,内部混乱招致外患,诸侯必来相助,三军越多越乱,疑兵之计奏效,A,军队内部混乱则会招致外敌入侵。
30,谋攻篇,「夫将者，国之辅也」中「辅」的意思是？,辅佐,辅助工具,副将,车辅,A,指将帅是国家的辅佐。
31,军形篇,「先为不可胜，以待敌之可胜」出自哪一篇？,军形篇,始计篇,兵势篇,虚实篇,A,出自《孙子兵法·军形篇》。
32,军形篇,「不可胜在己，可胜在敌」说明了什么？,敌人是否可胜取决于敌人,敌人是否可胜取决于自己,胜负全凭天命,胜负全凭运气,A,使自己不可胜在于自己，能否胜敌在于敌之可乘。
33,军形篇,「故善战者，立于不败之地」的下一句是？,而不失敌之败也,而不忘己之败也,而不忘敌之胜也,而不失己之胜也,A,原文为「立于不败之地，而不失敌之败也」。
34,军形篇,「胜兵先胜而后求战，败兵先战而后求胜」出自？,军形篇,始计篇,谋攻篇,虚实篇,A,出自《孙子兵法·军形篇》。
35,军形篇,「善守者藏于九地之下，善攻者动于九天之上」体现什么？,守攻之极致,攻守之均衡,攻守皆无用,守重于攻,A,形容善于攻守者的极致境界。
36,军形篇,「见胜不过众人之所知，非善之善者也」中「善之善者」是指？,更高明的善,更普通的善,不善之人,善于之事,A,指更高明的善战者。
37,军形篇,「举秋毫不为多力」比喻什么？,容易做到的事,微不足道的事,力量很小,秋天不动兵,A,比喻轻而易举的事情。
38,军形篇,「古之所谓善战者，胜于易胜者也」说明了什么？,善战者取胜容易,善战者取胜艰难,善战者好战,善战者必败,A,善战者总是战胜容易战胜之敌。
39,军形篇,「故其战胜不忒」中「不忒」的意思是？,没有差错,不隐藏,不改变,不迟疑,A,指没有差错、必定取胜。
40,军形篇,「兵法：一曰度，二曰量」中「度」是指？,度量土地,测量时间,揣测敌情,规定军法,A,指度量国土面积。
41,兵势篇,「凡治众如治寡，分数是也」中「分数」是指？,组织编制,数学分数,分散兵力,分配粮草,A,指军队的组织编制。
42,兵势篇,「斗众如斗寡，形名是也」中「形名」是指？,旌旗金鼓等指挥信号,形状与名字,外表与名声,形体与名称,A,指旌旗、金鼓等指挥手段。
43,兵势篇,「三军之众，可使必受敌而无败者，奇正是也」中「奇正」是指？,奇正战术变化,奇兵与正将,奇数与正数,奇妙与正规,A,指奇正相生的战术变化。
44,兵势篇,「兵之所加，如以碫投卵者，虚实是也」中「虚实」是指？,避实击虚,真假难辨,虚实不实,虚张声势,A,指以实击虚的战术。
45,兵势篇,「凡战者，以正合，以奇胜」出自哪一篇？,兵势篇,始计篇,虚实篇,军争篇,A,出自《孙子兵法·兵势篇》。
46,兵势篇,「故善出奇者，无穷如天地，不竭如江河」强调什么？,奇谋无穷,军队众多,地形广阔,江河凶险,A,强调奇谋变化无穷无尽。
47,兵势篇,「激水之疾，至于漂石者，势也」中「势」是指？,势能,水势,气势,优势,A,借水的势能比喻军事态势。
48,兵势篇,「鸷鸟之疾，至于毁折者，节也」中「节」是指？,节奏,气节,节制,关节,A,指节奏短促有力。
49,兵势篇,「故善战者，其势险，其节短」出自？,兵势篇,军形篇,虚实篇,九变篇,A,出自《孙子兵法·兵势篇》。
50,兵势篇,「任势者，其战人也，如转木石」中「任势」是指？,善用态势,任意造势,任其自然,放弃造势,A,指善于利用态势。
51,虚实篇,「凡先处战地而待敌者佚，后处战地而趋战者劳」出自？,虚实篇,军形篇,兵势篇,军争篇,A,出自《孙子兵法·虚实篇》。
52,虚实篇,「故善战者，致人而不致于人」中「致人」是指？,调动敌人,招引他人,送达他人,导致人败,A,指能调动敌人而不被敌人调动。
53,虚实篇,「出其所不趋，趋其所不意」体现什么？,攻其不备,主动退让,集中兵力,分兵把守,A,攻击敌人不设防之处。
54,虚实篇,「攻而必取者，攻其所不守也」出自？,虚实篇,军形篇,兵势篇,九变篇,A,出自《孙子兵法·虚实篇》。
55,虚实篇,「守而必固者，守其所不攻也」说明了什么？,守敌人所不攻之处,守敌必攻之处,处处设防,放弃防守,A,守住敌人不会进攻的地方必然稳固。
56,虚实篇,「故形人而我无形，则我专而敌分」中「形人」是指？,使敌暴露,使己暴露,塑形于人,使人有形,A,指让敌人暴露形迹。
57,虚实篇,「我专为一，敌分为十」体现什么？,集中兵力,分散兵力,以逸待劳,弃战求和,A,我集中兵力，敌分散兵力。
58,虚实篇,「以十攻其一也，则我众而敌寡」说明了什么？,局部优势,全面均衡,分散用兵,以寡敌众,A,在局部形成以多打少的优势。
59,虚实篇,「兵无常势，水无常形」出自？,虚实篇,兵势篇,军形篇,九变篇,A,出自《孙子兵法·虚实篇》。
60,虚实篇,「故五行无常胜，四时无常位」体现什么？,变化无穷,周期循环,五行相克,四时有序,A,比喻用兵要因敌变化。
61,军争篇,「凡用兵之法，将受命于君，合军聚众，交和而舍」的下一句是？,莫难于军争,莫先于军争,莫易于军争,莫急于军争,A,原文为「莫难于军争」。
62,军争篇,「军争之难者，以迂为直，以患为利」出自？,军争篇,虚实篇,九变篇,行军篇,A,出自《孙子兵法·军争篇》。
63,军争篇,「故迂其途，而诱之以利」体现什么？,后发先至,先发制人,以逸待劳,以退为进,A,通过迂回与诱敌抢占先机。
64,军争篇,「故兵以诈立，以利动，以分合为变者也」出自？,军争篇,始计篇,虚实篇,九变篇,A,出自《孙子兵法·军争篇》。
65,军争篇,「其疾如风，其徐如林」的下一句是？,侵掠如火,不动如山,难知如阴,动如雷震,A,原文为「其疾如风，其徐如林，侵掠如火，不动如山」。
66,军争篇,「不动如山，难知如阴」出自？,军争篇,兵势篇,军形篇,九地篇,A,出自《孙子兵法·军争篇》。
67,军争篇,「掠乡分众，廓地分利」体现什么？,利益分配,分兵作战,攻城略地,掠夺百姓,A,指掠取乡邑要分兵，扩张领土要分利。
68,军争篇,「故不知诸侯之谋者，不能豫交」中「豫交」是指？,预先结交,预先交战,犹豫结交,放弃结交,A,指预先结交诸侯。
